title,text,rating,rating_number,image_url,description,clean_text
Looney Tunes:Spotlight Coll. V2 (DVD),Wanted more of Michagan J. Frog- only included a feature- not too happy with this- advertising should have been better for this DVD,4.7,445.0,"{'thumb': 'https://m.media-amazon.com/images/I/61StRK9ZYlL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61StRK9ZYlL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/917FbL9JCUL._SL1500_.jpg'}","['Looney Tunes: Spotlight Collection Volume 2 (Dbl DVD)', ""That's right, go ahead and laugh at them. The silliness picks up where it never left off in Vol. 2 of the Looney Tunes Spotlight Collection, a joy-buzzer-to-the-world batch of more classic animated shorts from the Warner Bros. vaults all restored, remastered, uncut and never before on DVD. Two discs. Thirty cartoons (two more than in Vol. 1). Plus certifiably Looney extras. You'll tawt you taw a puddy tat and more with Disc 1's Tweety/Sylvester antics, Daffy Duck's detective Duck Twacy and the surreal Porky in Wackyland. Disc 2 unleashes an all-star, all-for-fun-and-fun-for-all array of Hollywood and show-business spoofs, including the great What's Opera, Doc? and more. Laugh yourself silly!"", ']]>']",wanted more of michagan j frog only included a feature not too happy with this advertising should have been better for this dvd
Queen Margot [VHS],Not the Queen Margot I expected.  It had subtitles and a different plot.,4.5,468.0,"{'thumb': 'https://m.media-amazon.com/images/I/41Y5MPVFZTL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41Y5MPVFZTL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}","['Product Description', ""A classic tale of intrigue and forbidden love, QUEEN MARGOT is the powerful hit universally acclaimed by critics! Thrown into a political marriage of convenience by her ruthlessly power-hungry family, the beautiful Margot (Isabelle Adjani -- CAMILLE CLAUDEL) soon finds herself hopelessly drawn into their murderous affairs. It's then she realizes that her only hope of escape lies somewhere between the heroic soldier who loves her and the enemy husband who could save her! Triumphant winner of 5 Cesar Awards the pretigious Cannes Film Festival Jury Prize -- you're sure to be entertained by this vivid portrayal of passion, revenge, and extraordinary courage!"", 'Amazon.com', 'Based on a novel by Alexandre Dumas,', 'Queen Margot', ""concerns the events behind infamous Massacre of St. Bartholomew in 16th-century France. Isabelle Adjani plays Margot, betrothed for political reasons to one man (Daniel Auteuil) by her mother (Virna Lisi), while she is, in fact, in love with another (Vincent Pérez). Despite the bond that grows between the reluctant couple, plots are hatching all over the castle against the royals. Adventurous, exciting, erotic, and given strong artistic credibility through its outstanding cast, the film is enthralling and visually sumptuous. Directed by Patrice Chereau, less known outside of France than is the film's producer, Claude Berri (director of"", 'Jean de Florette', 'and', 'Manon of the Spring', ').', '--Tom Keogh']",not the queen margot i expected it had subtitles and a different plot
"Looney Tunes: Platinum Collection, Vol. 1",some of the best of the older cartoons,4.8,2827.0,"{'thumb': 'https://m.media-amazon.com/images/I/5151cCjOAqL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/5151cCjOAqL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81bizkeN+hL._SL1500_.jpg'}","['Looney Tunes, The: Platinum Collection Volume 1 (DVD)', 'GO PLATINUM WITH THE REMASTERED COLLECTIONOF LOONEY TUNES! You saw them at the movies. You saw them on TV. You saw them instead of studying for your finals. Now you can watch the world class Looneynessas never before in this 2-Disc collection featuring 50 theatrical shorts dazzlingly remastered and presented with a stunning audio and visual experience. The fun begins on Disc One where you’ll find Bugs Bunny, Daffy Duck and Porky Pig – plus Road Runner and Wile E. Coyote, Pepé Le Pew, Foghorn Leghorn and Speedy Gonzales – in a dizzily delightful showcase of cartoon icons at their animated best. While Disc Two explodes with one-shot classics and complete collections from Marvin the Martian, the Tasmanian Devil, Witch Hazel, Marc Anthony and Ralph Phillips. These outstanding shorts from the Warner Bros. vault stand out even more in their newly remastered brilliance. Now more than ever, they’re a must-see.']",some of the best of the older cartoons
Pride and Prejudice,This is my number one classic movie for All time. I watch it repeatedly any never get tired of it.,4.7,2377.0,"{'thumb': 'https://m.media-amazon.com/images/I/51Ko49aY2uL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51Ko49aY2uL.jpg', 'variant': 'MAIN', 'hi_res': None}","['Product Description', 'Pride and Prejudice (DVD)', ']]>', 'Amazon.com', ""Jane Austen's wonderful novel has been adapted to the screen many times, with this 1940 version representing the golden age of the Hollywood studio era. Greer Garson, then just on the cusp of her stardom, plays the headstrong Elizabeth Bennet, smartest of five daughters who must be married off. Laurence Olivier is that difficult fellow Mr. Darcy, whose mulishness about the Bennet girls begins to thaw when he gets a dose of Elizabeth's sense and sensibility. The film is done up in the glamorous MGM house style, which means we're stuck with the less-than-inspired direction of Robert Z. Leonard ("", 'The Great Ziegfeld', '), redeemed somewhat by a collection of handsome sets (Cedric Gibbons and Paul Groesse won the Oscar for Interior Decoration) and the dandy photography by Karl Freund, one of the greats. Anyone accustomed to the 1995 miniseries version of', 'Pride and Prejudice', ""will need to adjust to the swifter demands of a two-hour movie, and to be sure this version, like the 2005 Keira Knightley remake, simplifies some of Austen's scenes. It's one of the few films, by the way, with Aldous Huxley as a credited screenwriter. Edmund Gwenn is lovely as Mr. Bennet, and Mary Boland brash as Mrs. Bennet; Garson, although MGM liked to corset her in fine-lady roles, manages to let Elizabeth's sauciness come through. Actually, the movie's weak spot is Laurence Olivier's elaborate performance as Darcy, which feels too theatrical. Not that it matters; Austen's story is so good, the film sails through to its delicious finish with all flags flying."", '--Robert Horton']",this is my number one classic movie for all time i watch it repeatedly any never get tired of it
This Property is Condemned [DVD],"Excellent movie, as expected...quick response on mail out",4.7,1209.0,"{'thumb': 'https://m.media-amazon.com/images/I/5159D-sjL3L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/5159D-sjL3L.jpg', 'variant': 'MAIN', 'hi_res': None}","[""Inspired by Tennessee Williams' play. Brought to life by Hollywood's biggest stars. He's the wrong man to love. How could it all seem so right? Robert Redford and Natalie Wood headline this sexually charged Depression-era drama. Redford (whose next film, Barefoot In The Park), would rocket him to stardom) plays Owen Legate, a railroad official come to backwater Dodson, Mississippi, with a pocketful of pink slips for the yard employees. Wood (at age 28 already a 23-year screen veteran) portrays the town flirt whose affair with Legate ignites her mother's - and the town's - revenge. Repressed desires, sultry women, sweltering weather and a handsome stranger... this is Tennessee Williams territory. And with stars Redford, Wood and co-star Charles Bronson, it's all prime property.""]",excellent movie as expectedquick response on mail out
Teen Titans - The Complete First Season (DC Comics Kids Collection),"This 2-disc set collects the first 13 episodes of Teen Titans, which were also previously released on 2 single-disc editions.<br /><br />I like Teen Titans. It's a very different take on the DC characters than Batman, Superman, and Justice League, and there are obvious anime influences in the fight scenes and gags. What's nice about the series is that while it generally writes towards a younger audience, it's never so simplistic that it alienates the older crowd. The chemistry between the five leads is great, and there are occasional moments of lunacy that will make you wonder if the staff is secretly taking anything in the back room (ie the Mad Mod episode). Plus season 1's underlying subplot involving Slade (voiced expertly by Ron 'Hellboy' Perlman) is as dark and driven as anything in the Batman shows. The only time this show falls flat for me is when it puts stylized action over story essentials, which some of the early episodes here fall into.<br /><br />Again, this set collects material that WB has already released. I think even the bulk of the bonus features have been carried over. I'm hoping this was a sudden shift in WB's animation-on-dvd strategy as opposed to milking the consumer with re-releases, as the single discs were already quite generous in their own way. A great consideration if you haven't purchased the old discs yet, great for kids but adults should find some amusement too.",4.8,902.0,"{'thumb': 'https://m.media-amazon.com/images/I/511zeNGsaOL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/511zeNGsaOL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71UFpbjKoGL._SL1500_.jpg'}","['Product Description', 'Teen Titans: The Complete First Season (DVD)', 'With awesome super skills and powers galore, these crimefighting partners kick butt and squash evil like nobody’s business! But as roommates in Titans Tower,™ it’s every hero for him- or herself when it comes to living in peace. Not even super heroes can settle fights over who’s in control of the TV remote! In these 13 action-packed adventures, the Titans face all your favorite villains – Mad Mod, The Puppet King, Killer Moth and, of course, their archnemesis Slade – in one power-packing showdown after another. Some battles even pit the Titans against each other! Featuring bold animation, funky music and fun characters, this complete Season One from the hit TV series is an intergalactic knockout!', ']]>', 'Amazon.com', ""The complete first season of Cartoon Network and WBTV's fine adaptation of Marv Wolfman and George Perez's '80s-era DC Comics title"", 'Teen Titans', ""arrives in a 13-episode two-disc set. The attractive, anime-influenced episodes of the series' 2003 debut season pit the Titans--former Batman sidekick Robin, Beast Boy, Starfire, Cyborg, Terra, and Raven--against a horde of regular foes, including Slade (voiced by Ron Perlman), Trigon, Trident, Mad Mod, and many others. True to their age, the Titans also have to deal with issues about maturity, confidence, a hint of romance, and even a body-switch between two members."", '--Paul Gaita']",this 2disc set collects the first 13 episodes of teen titans which were also previously released on 2 singledisc editionsbr br i like teen titans its a very different take on the dc characters than batman superman and justice league and there are obvious anime influences in the fight scenes and gags whats nice about the series is that while it generally writes towards a younger audience its never so simplistic that it alienates the older crowd the chemistry between the five leads is great and there are occasional moments of lunacy that will make you wonder if the staff is secretly taking anything in the back room ie the mad mod episode plus season 1s underlying subplot involving slade voiced expertly by ron hellboy perlman is as dark and driven as anything in the batman shows the only time this show falls flat for me is when it puts stylized action over story essentials which some of the early episodes here fall intobr br again this set collects material that wb has already released i think even the bulk of the bonus features have been carried over im hoping this was a sudden shift in wbs animationondvd strategy as opposed to milking the consumer with rereleases as the single discs were already quite generous in their own way a great consideration if you havent purchased the old discs yet great for kids but adults should find some amusement too
Despicable Me 2,Way too funny!,4.8,32123.0,"{'thumb': 'https://m.media-amazon.com/images/I/51dExloDI6L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51dExloDI6L.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71y2gdXAoPL._SL1500_.jpg'}","['Product Description', 'Gru, his adorable girls, and the mischievous Minions are back with a cast of unforgettable new characters in the blockbuster sequel to the worldwide phenomenon. Just as Gru has given up being super-bad to be a super-dad, the Anti-Villain League recruits him to track down a new criminal mastermind and save the world. Partnered with secret agent Lucy Wilde, Gru, along with the wildly unpredictable Minions, must figure out how to keep his cover while also keeping up with his duties as a father. Assemble the Minions for laugh-out-loud comedy in ""one of the funniest, most enjoyable movies ever!"" (MovieGuide).', 'There are multiple versions of this movie cover and each shipment is random. Customers are not guaranteed to receive a specific cover or to receive different covers with multiple purchases.', 'Amazon.com', ""Sticky doesn't begin to describe Gru's new life: the ex-supervillain has given up his villainous ways and he and Dr. Nefario (Russell Brand) have settled into the legitimate business of making jellies and jams with the help of his army of minions. Parenting is no less sticky, and the fact that Gru will go to any length to ensure the happiness of his adopted girls Agnes, Edith, and Margo is evident by the elaborate birthday party he's throwing for Agnes that includes a live unicorn and a princess named Gruzinkerbell. Anti-Villain League operative Lucy Wild (Kristen Wiig) kidnaps Gru after the party, using an arsenal of spy gadgetry that would make James Bond jealous, and the agency solicits his help in apprehending a criminal who's made an entire secret lab disappear from the Arctic Circle and stolen a dangerous transmutation formula. The lure of excitement tempts Gru, and he and Lucy set up an undercover operation in a bakery in Paradise Mall, the minions start cranking out cupcakes, and Gru and Lucy begin investigating their fellow business owners. Meanwhile, Agnes pines for a mother, Margo finds her first boyfriend, Dr. Nefario takes a more exciting job, a slew of minions go missing, and Gru staunchly refuses to enter the dating scene. Little does Gru know that his whole life is about to change once again. The minions and their antics are quite funny in this second film, and, for the 10-and-under crowd, they completely steal the show. For the older crowd, the film does a decent job of further developing Gru's character and provides lots of comedic material in the exaggeration of the many challenges of parenthood as well as through the wacky exploits of the minions. (Ages 6 and older)"", '--Tami Horiuchi']",way too funny
Modern Marvels: Brooklyn Bridge,"I first became interested in the Brooklyn Bridge from having watched part of a presentation on the History Channel.  The building of the Brooklyn Bridge was an amazing feat considering the equipment available to workers more than 120 years ago.<br />I read the book ""The Brooklyn Bridge"" first and then bought and watched the DVD.  The combination of having read the book and then watching the DVD made it all come alive with the characters and time.  The DVD is a fantastic presentation of the design and building of the Brooklyn Bridge.",4.4,15.0,"{'thumb': 'https://m.media-amazon.com/images/I/51906F7146L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51906F7146L.jpg', 'variant': 'MAIN', 'hi_res': None}",['MODERN MARVELS: BROOKLYN BRIDGE'],i first became interested in the brooklyn bridge from having watched part of a presentation on the history channel the building of the brooklyn bridge was an amazing feat considering the equipment available to workers more than 120 years agobr i read the book the brooklyn bridge first and then bought and watched the dvd the combination of having read the book and then watching the dvd made it all come alive with the characters and time the dvd is a fantastic presentation of the design and building of the brooklyn bridge
Cartoon Network: Chowder: Volume 2,My step-son loves chowder and has had the volume 1 disc for a long time. I got this one for him for good grades and he loves it. He watches it all the time.,4.7,166.0,"{'thumb': 'https://m.media-amazon.com/images/I/511m1KsUA+L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/511m1KsUA+L.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/813Z173ZfrL._SL1500_.jpg'}","['Product Description', 'Cartoon Network: Chowder: Volume 2', 'Marzipan City is a place where anything can happen and the unorthodox is commonplace. In the middle of this bizarre city is a quaint little shop known as Mung Daal Catering, which is owned by Mung Daal, one of the ost accomplished chefs and well known in the entire world. However, things have become a bit hectic in the kitchen as of late, as Mung Daal has recently acquired a young apprentice named Chowder, whom he wishes to pass along all of his knowledge towards. Chowder is an energetic young lad who wishes to become the greatest chef in the world, but his love of food and his extremely short attention span often results in him causing unintended havoc. However, theyre not alone. Truffles works at Mung Daal Catering and she takes the orders that her husband, Mung Daal, must prepare. Shnitzel, a rock monster, also helps out in the kitchen as he has worked for Mung Daal for years. Along the way, theyll meet the many colorful and zany residents of Marzipan City, though there will always be new dishes to prepare and exciting recipes to follow.', ']]>', 'Amazon.com', 'Five more episodes of', 'Chowder', 'await fans of the surreal and sublimely silly animated television series on this delicious second volume DVD. As with its predecessor, the episodes are not in broadcast order, which has no effect on their enjoyment; each of the 22-minute stories (broken into two 11-minute episodes) stands on its own in terms of zaniness and visual charm. Strongest among the batch included here is the Emmy- and Annie-nominated “Burple Nurples,” which circles around a somewhat morbid conceit: in an attempt to make the title dish, aspiring chef Chowder accidentally laces it with rat poison, sending his boss and mentor Mung Daal on a mad quest to track down all of his creations. Other episodes underscore the show’s gentle blend of kid-friendly storylines and out-and-out wackiness: “Mung on the Rocks” gives Chowder a chance to prove himself by bailing Mung out of a pickle with his wife, Truffles, while its companion piece, “Sniffleball,” finds our hero facing the classic conundrum: will he be the hero in a game of sniffleball or the goat? It’s this inherent sweetness, mixed with the lovely, off-kilter artwork and characterizations that make', 'Chowder', 'so appealing to viewers of all ages. Extras detailing the conception of this unique show would have been appreciated, but only a gallery of sketches and designs are present on this disc.', '--Paul Gaita']",my stepson loves chowder and has had the volume 1 disc for a long time i got this one for him for good grades and he loves it he watches it all the time
B C First Thanksgiving,I have loved this cartoon since I was a kid and I was really happy to find it online so I could buy it.  Wish it came out on DVD!,2.6,10.0,"{'thumb': 'https://m.media-amazon.com/images/I/21kRDClQMdL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/21kRDClQMdL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",[],i have loved this cartoon since i was a kid and i was really happy to find it online so i could buy it wish it came out on dvd
